name,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017
City of London,0.000259601,0.000329403,0.000340876,0.000471095,0.000607771,0.000713663,0.000701531,0.00096893,0.001347153,0.001100397,0.00104974,0.000896048,0.000902884
Barking and Dagenham,0.159086224,0.163062296,0.165848671,0.172396743,0.196263038,0.221719124,0.23039459,0.248595969,0.274252273,0.257101526,0.297825802,0.250545675,0.24481952
Barnet,0.174110773,0.187947403,0.191465616,0.228577727,0.285347069,0.329322136,0.326400549,0.364349404,0.435913884,0.409005306,0.43065124,0.386309833,0.380707972
Bexley,0.069365116,0.167385982,0.174998278,0.209464608,0.23232376,0.245285579,0.249933612,0.298194022,0.355740232,0.337156554,0.344320173,0.435886976,0.429357443
Brent,0.082466575,0.087080891,0.086867032,0.104485305,0.130554902,0.166387979,0.167404261,0.181113108,0.235375248,0.214662401,0.232618728,0.236010093,0.229180591
Bromley,0.132765078,0.140922037,0.144854977,0.170608838,0.204451844,0.242159103,0.232192622,0.265995951,0.31309148,0.293389796,0.312953436,0.322991832,0.315770691
Camden,0.03555007,0.040028451,0.043122563,0.056399183,0.072315815,0.088467691,0.084934859,0.111903644,0.139735424,0.136474676,0.142849155,0.11459091,0.115119307
Croydon,0.282504375,0.297976673,0.30408727,0.32792221,0.416230122,0.482727141,0.471649623,0.500929906,0.574972742,0.547549998,0.56707423,0.576866005,0.564333995
Ealing,0.099672425,0.106268757,0.105182684,0.119075206,0.154787197,0.196176199,0.195313192,0.211302508,0.269514719,0.24773461,0.269826844,0.26907832,0.25990611
Enfield,0.157287189,0.274402505,0.30703193,0.299568076,0.373916728,0.458115601,0.395026751,0.423982991,0.46420596,0.516211716,0.424953073,0.390115835,0.417396752
Greenwich,0.165288332,0.184531604,0.190434453,0.218065227,0.286719013,0.349618385,0.336388628,0.393861846,0.475319947,0.439175424,0.466701133,0.368381445,0.363466457
