year,Landfill,Incineration with EfW,Incineration without EfW,Household Recycling Rates,Other
2003,0.7,0.19,0,0.11,0
2004,0.65,0.2,0,0.15,0
2005,0.64,0.18,0,0.18,0
2006,0.57,0.22,0,0.2,0.01
2007,0.53,0.22,0,0.22,0.02
2008,0.49,0.23,0,0.25,0.03
2009,0.49,0.21,0,0.27,0.03
2010,0.45,0.24,0,0.28,0.03
2011,0.31,0.36,0,0.3,0.03
2012,0.26,0.41,0,0.3,0.03
2013,0.24,0.42,0,0.31,0.03
2014,0.21,0.46,0,0.3,0.03
2015,0.2,0.46,0.01,0.3,0.04
2016,0.13,0.53,0.01,0.3,0.04
2017,0.1,0.56,0.01,0.3,0.04
2018,0.07,0.58,0.01,0.3,0.04
2019,0.03,0.61,0.02,0.3,0.04
